Customer Type,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Online boarding,Seat comfort,Inflight entertainment,satisfaction
Loyal Customer,Business travel,Business,1727,1,1,4,5,5,satisfied
Loyal Customer,Personal Travel,Eco,1546,3,3,3,2,2,neutral or dissatisfied
disloyal Customer,Business travel,Eco,1086,5,5,5,1,1,satisfied
Loyal Customer,Business travel,Business,2644,2,5,4,3,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,302,4,1,3,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco,125,5,2,5,5,5,satisfied
Loyal Customer,Business travel,Business,248,3,3,5,5,5,satisfied
disloyal Customer,Business travel,Eco,547,2,2,2,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,472,4,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,2875,2,4,4,4,5,satisfied
disloyal Customer,Business travel,Business,1464,1,1,1,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Eco,472,5,1,3,1,5,satisfied
Loyal Customer,Business travel,Business,274,5,5,4,4,4,satisfied
Loyal Customer,Personal Travel,Eco,1535,2,2,2,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,404,1,1,5,5,4,satisfied
Loyal Customer,Business travel,Business,406,4,3,4,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,594,2,2,2,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1616,2,2,2,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,1605,3,3,5,5,5,satisfied
Loyal Customer,Business travel,Business,327,1,1,4,4,5,satisfied
Loyal Customer,Business travel,Business,2640,4,4,4,5,4,satisfied
Loyal Customer,Business travel,Business,2387,5,5,4,4,5,satisfied
Loyal Customer,Business travel,Eco,493,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,1754,2,2,5,5,4,satisfied
Loyal Customer,Business travel,Business,711,2,2,5,4,3,satisfied
Loyal Customer,Personal Travel,Eco Plus,109,2,2,2,3,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco,106,5,4,5,5,5,satisfied
Loyal Customer,Business travel,Business,1921,2,2,5,4,4,satisfied
disloyal Customer,Business travel,Business,762,3,3,3,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,160,4,1,4,4,4,satisfied
disloyal Customer,Business travel,Business,862,3,3,3,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,468,1,1,1,3,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,2296,3,3,5,5,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,2642,4,4,4,5,2,satisfied
Loyal Customer,Personal Travel,Eco,944,5,4,4,1,1,satisfied
Loyal Customer,Personal Travel,Eco,2677,2,2,2,2,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,903,5,5,1,5,5,satisfied
Loyal Customer,Business travel,Business,737,2,2,2,2,5,satisfied
Loyal Customer,Personal Travel,Eco Plus,226,1,1,1,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,675,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,479,4,1,4,4,4,satisfied
disloyal Customer,Business travel,Eco,1379,5,5,5,4,4,satisfied
disloyal Customer,Business travel,Eco,143,3,3,3,5,5,neutral or dissatisfied
disloyal Customer,Business travel,Eco,284,1,1,4,4,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,344,0,0,3,5,4,satisfied
Loyal Customer,Business travel,Business,1009,1,1,4,5,5,satisfied
Loyal Customer,Personal Travel,Eco,228,2,2,2,1,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,427,1,1,4,5,3,neutral or dissatisfied
Loyal Customer,Business travel,Eco,110,3,3,4,3,3,satisfied
Loyal Customer,Personal Travel,Eco,1079,2,2,4,4,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2467,3,3,5,5,1,satisfied
disloyal Customer,Business travel,Eco,73,3,3,4,4,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,834,2,4,4,5,5,satisfied
disloyal Customer,Business travel,Business,994,5,5,5,2,2,satisfied
Loyal Customer,Personal Travel,Eco,488,2,4,4,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,397,3,3,5,4,4,satisfied
disloyal Customer,Business travel,Business,265,2,2,2,1,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,425,2,2,1,3,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,1587,2,3,2,2,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco Plus,1192,2,2,2,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,2299,1,3,4,3,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,951,2,2,2,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,544,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,2279,3,3,3,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,448,4,4,4,4,2,neutral or dissatisfied
disloyal Customer,Business travel,Business,581,3,3,3,3,4,neutral or dissatisfied
disloyal Customer,Business travel,Business,1744,5,5,0,3,3,satisfied
Loyal Customer,Business travel,Business,2139,4,1,4,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,312,2,3,2,3,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,288,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,3066,1,1,4,4,4,satisfied
Loyal Customer,Personal Travel,Eco,334,3,3,3,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,919,2,2,4,5,5,satisfied
